Целевая площадь;Основной шаг;Доп. шаг;Основная арматура;Доп. арматура;Общая площадь;Отклонение (%)
;;;Ø3 мм;Ø8 мм;2.693;41.71
;;;Ø4 мм;Ø8 мм;2.830;48.95
;;;Ø12 мм;Ø3 мм;3.183;67.50
;;;Ø6 мм;Ø8 мм;3.223;69.61
;;;Ø10 мм;Ø6 мм;3.378;77.76
;;;Ø12 мм;Ø4 мм;3.457;81.97

2;0.4;0.1;Ø3 мм;Ø3 мм;0.888;-55.62
;;;Ø4 мм;Ø3 мм;1.025;-48.75
;;;Ø6 мм;Ø3 мм;1.418;-29.12
;;;Ø3 мм;Ø4 мм;1.438;-28.12
;;;Ø4 мм;Ø4 мм;1.575;-21.25
;;;Ø6 мм;Ø4 мм;1.967;-1.63
;;;Ø8 мм;Ø3 мм;1.968;-1.62
;;;Ø8 мм;Ø4 мм;2.517;25.87
;;;Ø10 мм;Ø3 мм;2.673;33.63
;;;Ø3 мм;Ø6 мм;3.007;50.37
;;;Ø4 мм;Ø6 мм;3.145;57.25
;;;Ø10 мм;Ø4 мм;3.223;61.13
;;;Ø6 мм;Ø6 мм;3.537;76.87
;;;Ø12 мм;Ø3 мм;3.538;76.88
;;;Ø8 мм;Ø6 мм;4.088;104.38
;;;Ø12 мм;Ø4 мм;4.088;104.38
;;;Ø14 мм;Ø3 мм;4.560;128.00
;;;Ø10 мм;Ø6 мм;4.793;139.62
;;;Ø14 мм;Ø4 мм;5.110;155.50
;;;Ø3 мм;Ø8 мм;5.208;160.38

2.2;0.4;0.1;Ø3 мм;Ø3 мм;0.888;-59.66
;;;Ø4 мм;Ø3 мм;1.025;-53.41
;;;Ø6 мм;Ø3 мм;1.418;-35.57
;;;Ø3 мм;Ø4 мм;1.438;-34.66
;;;Ø4 мм;Ø4 мм;1.575;-28.41
;;;Ø6 мм;Ø4 мм;1.967;-10.57
;;;Ø8 мм;Ø3 мм;1.968;-10.57
;;;Ø8 мм;Ø4 мм;2.517;14.43
;;;Ø10 мм;Ø3 мм;2.673;21.48
;;;Ø3 мм;Ø6 мм;3.007;36.70
;;;Ø4 мм;Ø6 мм;3.145;42.95
;;;Ø10 мм;Ø4 мм;3.223;46.48
;;;Ø6 мм;Ø6 мм;3.537;60.80
;;;Ø12 мм;Ø3 мм;3.538;60.80
;;;Ø8 мм;Ø6 мм;4.088;85.80
;;;Ø12 мм;Ø4 мм;4.088;85.80
;;;Ø14 мм;Ø3 мм;4.560;107.27
;;;Ø10 мм;Ø6 мм;4.793;117.84
;;;Ø14 мм;Ø4 мм;5.110;132.27
;;;Ø3 мм;Ø8 мм;5.208;136.70

2.4;0.4;0.1;Ø3 мм;Ø3 мм;0.888;-63.02
;;;Ø4 мм;Ø3 мм;1.025;-57.29
;;;Ø6 мм;Ø3 мм;1.418;-40.94
;;;Ø3 мм;Ø4 мм;1.438;-40.10
;;;Ø4 мм;Ø4 мм;1.575;-34.38
;;;Ø6 мм;Ø4 мм;1.967;-18.02
;;;Ø8 мм;Ø3 мм;1.968;-18.02
;;;Ø8 мм;Ø4 мм;2.517;4.90
;;;Ø10 мм;Ø3 мм;2.673;11.35
;;;Ø3 мм;Ø6 мм;3.007;25.31
;;;Ø4 мм;Ø6 мм;3.145;31.04
;;;Ø10 мм;Ø4 мм;3.223;34.27
;;;Ø6 мм;Ø6 мм;3.537;47.40
;;;Ø12 мм;Ø3 мм;3.538;47.40
;;;Ø8 мм;Ø6 мм;4.088;70.31
