Номер,Индекс координаты,Координаты X,Координаты Y,Координаты Z,Тип,Материал
182,1,0.75,8.25,-1.65,44,7
182,2,0.75,8.75,-2.2,44,7
182,3,0.75,8.25,-2.2,44,7
183,0,0.75,8.75,0,44,7
183,1,0.75,8.25,0,44,7
183,2,0.75,8.75,-0.55,44,7
183,3,0.75,8.25,-0.55,44,7
184,0,0.75,8.25,0,5,3
184,1,0.75,8.75,0,5,3
185,0,0.75,8.25,3.3,5,3
185,1,0.75,8.75,3.3,5,3
186,0,0.75,8.25,6.6,5,3
186,1,0.75,8.75,6.6,5,3
187,0,0.75,8.25,9.9,5,3
187,1,0.75,8.75,9.9,5,3
188,0,0.75,9.25,-2.75,44,7
188,1,0.75,8.75,-2.75,44,7
188,2,0.75,9.25,-3.3,44,7
188,3,0.75,8.75,-3.3,44,7
189,0,0.75,9.25,-2.2,44,7
189,1,0.75,8.75,-2.2,44,7
189,2,0.75,9.25,-2.75,44,7
189,3,0.75,8.75,-2.75,44,7
190,0,0.75,9.25,-1.65,44,7
190,1,0.75,8.75,-1.65,44,7
190,2,0.75,9.25,-2.2,44,7
190,3,0.75,8.75,-2.2,44,7
191,0,0.75,9.25,0,44,7
191,1,0.75,8.75,0,44,7
191,2,0.75,9.25,-0.55,44,7
191,3,0.75,8.75,-0.55,44,7
192,0,0.75,8.75,0,5,3
192,1,0.75,9.25,0,5,3
193,0,0.75,8.75,3.3,5,3
193,1,0.75,9.25,3.3,5,3
194,0,0.75,8.75,6.6,5,3
194,1,0.75,9.25,6.6,5,3
195,0,0.75,8.75,9.9,5,3
195,1,0.75,9.25,9.9,5,3
196,0,0.75,9.75,-2.75,44,7
196,1,0.75,9.25,-2.75,44,7
196,2,0.75,9.75,-3.3,44,7
196,3,0.75,9.25,-3.3,44,7
197,0,0.75,9.75,-2.2,44,7
197,1,0.75,9.25,-2.2,44,7
197,2,0.75,9.75,-2.75,44,7
197,3,0.75,9.25,-2.75,44,7
198,0,0.75,9.75,-1.65,44,7
198,1,0.75,9.25,-1.65,44,7
198,2,0.75,9.75,-2.2,44,7
198,3,0.75,9.25,-2.2,44,7
199,0,0.75,9.75,-1.1,44,7
199,1,0.75,9.25,-1.1,44,7
199,2,0.75,9.75,-1.65,44,7
199,3,0.75,9.25,-1.65,44,7
200,0,0.75,9.75,-0.55,44,7
200,1,0.75,9.25,-0.55,44,7
200,2,0.75,9.75,-1.1,44,7
200,3,0.75,9.25,-1.1,44,7
201,0,0.75,9.75,0,44,7
201,1,0.75,9.25,0,44,7
201,2,0.75,9.75,-0.55,44,7
201,3,0.75,9.25,-0.55,44,7
202,0,0.75,9.25,0,5,3
202,1,0.75,9.75,0,5,3
203,0,0.75,9.25,3.3,5,3
203,1,0.75,9.75,3.3,5,3
204,0,0.75,9.25,6.6,5,3
204,1,0.75,9.75,6.6,5,3
205,0,0.75,9.25,9.9,5,3
205,1,0.75,9.75,9.9,5,3
206,0,0.75,10.25,-2.75,44,7
206,1,0.75,9.75,-2.75,44,7
206,2,0.75,10.25,-3.3,44,7
206,3,0.75,9.75,-3.3,44,7
207,0,0.75,10.25,-2.2,44,7
207,1,0.75,9.75,-2.2,44,7
207,2,0.75,10.25,-2.75,44,7
207,3,0.75,9.75,-2.75,44,7
208,0,0.75,10.25,-1.65,44,7
208,1,0.75,9.75,-1.65,44,7
208,2,0.75,10.25,-2.2,44,7
208,3,0.75,9.75,-2.2,44,7
209,0,0.75,10.25,-1.1,44,7
209,1,0.75,9.75,-1.1,44,7
209,2,0.75,10.25,-1.65,44,7
209,3,0.75,9.75,-1.65,44,7
